Date,Percent Change
2018-10-18,0.48242250645947277
2018-10-17,2.0615750978057426
2018-10-16,0.03649210187966977
2018-10-15,-2.8900217205823377
2018-10-12,0.882365887721449
2018-10-11,-2.289925311022149
2018-10-10,1.2528883529483064
2018-10-09,4.083344318055526
2018-10-08,-0.026758187423659905
2018-10-05,0.6740750727038114
2018-10-04,1.155655618179308
2018-10-03,1.8140606522792881
2018-10-02,-0.31926795882268333
2018-10-01,0.46968509325270924
2018-09-28,0.11247335748507312
2018-09-27,-0.054464266840091535
2018-09-26,-0.6457773544904725
2018-09-25,0.21355059712993446
2018-09-24,-0.17790010321208838
2018-09-21,-0.07875336798982296
2018-09-20,0.5140610072207639
2018-09-19,-0.9835170640650814
2018-09-18,0.07629356557412742
2018-09-17,-0.7639514222136063
2018-09-14,1.426334949638204
2018-09-13,0.04579651622032832
2018-09-12,-0.7477782261765183
2018-09-11,0.22878731434550006
2018-09-10,-0.6096545248960192
2018-09-07,-0.27358292397127876
2018-09-06,0.2548364010890135
2018-09-05,0.9060470258918886
2018-09-04,1.1874555847365973
2018-08-31,0.2255368368612765
2018-08-30,-0.26185778081094674
2018-08-29,0.26301868505454495
2018-08-28,-0.9919004139456296
2018-08-27,-0.15141121740106922
2018-08-24,-0.9051117672080734
2018-08-23,-0.8570202806132102
2018-08-22,0.1348696302493355
2018-08-21,-0.38082901884041565
2018-08-20,-0.48791652229059745
2018-08-17,-0.05987464705303245
2018-08-16,-0.1256641883963596
2018-08-15,-0.4167674283391631
2018-08-14,1.2294670615394248
2018-08-13,-0.6544999750630175
2018-08-10,0.24747707329020305
2018-08-09,0.667403298115255
2018-08-08,-0.04373549281026298
2018-08-07,-0.05923644601619137
2018-08-06,-0.30510147995846604
2018-08-03,-0.6102142726391808
2018-08-02,-0.11944598593562758
2018-08-01,-1.2377891580568479
2018-07-31,-0.4627342510678733
2018-07-30,-0.5477064220183481
2018-07-27,1.3883180698475728
2018-07-26,1.4615049578588395
2018-07-25,1.0092987605014407
2018-07-24,-1.1665946074173754
2018-07-23,0.014027266455570602
2018-07-20,-0.2771028873941852
2018-07-19,0.06517322019603547
2018-07-18,0.37100035139359927
2018-07-17,0.00865677418041088
2018-07-16,-0.6328692292318919
2018-07-13,0.2588813158224185
2018-07-12,-0.026329512571696675
2018-07-11,-1.3906365619099632
2018-07-10,0.5488967934838662
2018-07-09,-0.03867873443180939
2018-07-06,-0.8819791920024802
2018-07-05,-1.3439786566276894
2018-07-03,-1.1164025606883978
2018-07-02,0.8591789568547276
2018-06-29,-0.7641505665552564
2018-06-28,-0.08822337839566574
2018-06-27,-0.7870969821680944
2018-06-26,1.541334341934215
2018-06-25,-0.3932549213290993
2018-06-22,2.0903907799740473
2018-06-21,0.2609896343163136
2018-06-20,0.8810629299454784
2018-06-19,-0.7238282124730936
2018-06-18,0.27675121949959663
2018-06-15,-0.008391016190783775
2018-06-14,0.18889221032232606
2018-06-13,-0.8490455709032335
2018-06-12,0.10501324672661308
2018-06-11,-0.5725900889433673
2018-06-08,-0.1886074310281469
2018-06-07,-0.1367374496894005
2018-06-06,0.7044909509912562
2018-06-05,-0.6727015158696299
2018-06-04,-0.4128070087793748
2018-06-01,-0.6900678154118249
2018-05-31,-1.5077692915459577
2018-05-30,0.27243063605116186
2018-05-29,-0.8904103106972223
2018-05-25,0.5012207671664106
2018-05-24,-0.12687842703076294
2018-05-23,0.020603396732540243
2018-05-22,-0.6437657722614204
2018-05-21,0.21071024771302194
2018-05-18,-0.5398173051558647
2018-05-17,0.3810377827475101
2018-05-16,0.21396807374667054
2018-05-15,-0.634825202030027
2018-05-14,0.8053895932168575
2018-05-11,-0.11400968271807188
2018-05-10,0.028224287201705684
2018-05-09,-0.8863868903024751
2018-05-08,-1.0046925098735393
2018-05-07,-0.023261543713114965
2018-05-04,-0.7710531206915225
2018-05-03,-1.7137052686526142
2018-05-02,0.17955470433325355
2018-05-01,0.4179112850070846
2018-04-30,-0.9117964640467938
2018-04-27,0.7518469619933108
2018-04-26,-0.01573325391785964
2018-04-25,-1.64112317133418
2018-04-24,0.051517335369299116
2018-04-23,1.70089498639284
2018-04-20,0.24530760005765
2018-04-19,1.2700917096570115
2018-04-18,0.7837987509663752
2018-04-17,-0.1942014256087599
2018-04-16,-1.744202295047156
2018-04-13,-0.6983599867729536
2018-04-12,0.47057175869192763
2018-04-11,-1.0074932487201251
2018-04-10,0.35620145750814647
2018-04-09,-2.0712655783745837
2018-04-06,-0.5094640576939553
2018-04-05,2.2813376574743414
2018-04-04,-0.48905796700137477
2018-04-03,-1.4526139271143066
2018-04-02,-1.0357897678643146
2018-03-29,2.73691006082022
2018-03-28,-1.6434914371808107
2018-03-27,0.8500729795785709
2018-03-26,2.932329160976874
2018-03-23,-3.2586980366583846
2018-03-22,2.4280419943404787
2018-03-21,2.4316262530138317
2018-03-20,0.25813722960770497
2018-03-19,-0.27313922202978663
2018-03-16,1.8410877320071264
2018-03-15,-0.00334146869578467
2018-03-14,0.20101883334379045
2018-03-13,0.18905579941978268
2018-03-12,1.0188025808083936
2018-03-09,-0.36384990497049
2018-03-08,-1.7886496274207635
2018-03-07,-0.42316454070424026
2018-03-06,-0.334237202608236
2018-03-05,-0.5635205369200813
2018-03-02,-1.0034624483491703
2018-03-01,-1.0766569738293321
2018-02-28,1.2711380845069624
2018-02-27,0.7822273152032324
2018-02-26,1.2276560137762607
2018-02-23,-1.1457752688626297
2018-02-22,-1.7655812895539469
2018-02-21,0.1127700281093761
2018-02-20,0.22227413533565518
2018-02-16,0.07127593594558516
2018-02-15,0.23372374569864293
2018-02-14,-1.579171344500413
2018-02-13,-1.8551338773310322
2018-02-12,-0.4518788420443569
2018-02-09,-1.5633159696210228
2018-02-08,-1.4361472947370275
2018-02-07,3.8970615344910184
2018-02-06,0.8979915344272325
2018-02-05,-2.129161984232581
2018-02-02,3.776023864271955
2018-02-01,1.961992239224679
2018-01-31,0.3456799451661462
2018-01-30,-0.1215808755984481
2018-01-29,0.8575626363588965
2018-01-26,0.5230642558991311
2018-01-25,-1.2765882803771686
2018-01-24,0.05259566342012803
2018-01-23,0.6062766996993356
2018-01-22,-0.7054507068680907
2018-01-19,-0.9766397051406774
2018-01-18,-0.5527648522145535
2018-01-17,0.030555144499793973
2018-01-16,-1.032574764420956
2018-01-12,0.5146631483557607
2018-01-11,-0.6833264464528959
2018-01-10,-0.8137195833688639
2018-01-09,0.13973460197275966
2018-01-08,-0.08648403957307901
2018-01-05,-0.29187731904446856
2018-01-04,-0.8286344415229997
2018-01-03,-0.17521686271235293
2018-01-02,-0.8367466354593345
2017-12-29,-1.4994082617380635
2017-12-28,0.672934148278594
2017-12-27,-0.15592260935477592
2017-12-26,-0.04454856730942722
2017-12-22,0.340662877372859
2017-12-21,0.07752650257846883
2017-12-20,-0.0632096722291126
2017-12-19,0.04150003230971844
2017-12-18,0.441902223950498
2017-12-15,-0.8387418583797821
2017-12-14,-1.167500178661804
2017-12-13,0.2802582972163303
2017-12-12,-0.19643502488954864
2017-12-11,0.18559784031604312
2017-12-08,-0.5116899217553011
2017-12-07,-0.39983325602831976
2017-12-06,-0.5380453870650707
2017-12-05,-0.20954687890497445
2017-12-04,0.194232934880307
